Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
83,20.346989949375804,9,164,82,2.8284271247461903,152,279,14,0,8,3,1,1
83,17.88854381999832,10,174,74,2.6457513110645907,196,276,41,0,7,3,1,1
83,18.2208671582886,11,186,60,4.123105625617661,496,262,63,0,6,3,1,1
83,20.73644135332772,12,200,56,4.898979485566356,681,268,98,0,3,3,1,1
83,19.82422760159901,13,204,28,5.5677643628300215,1557,197,114,0,0,3,1,1
83,19.72308292331602,14,207,27,5.196152422706632,1763,196,104,0,0,3,1,1
83,20.71231517720798,15,203,26,5.5677643628300215,1750,189,84,0,0,3,1,1
83,21.6794833886788,16,195,29,5.385164807134504,1607,193,51,0,0,3,1,1
83,23.430749027719962,17,184,41,4.47213595499958,1240,218,15,0,0,3,1,1
83,28.0178514522438,18,170,37,5.196152422706632,1358,194,0,0,0,3,1,1
83,22.47220505424423,19,159,38,5.0,1085,187,0,0,0,3,1,1
83,19.72308292331602,20,149,38,5.0,1417,178,0,0,0,3,1,1
83,20.024984394500787,21,141,37,4.69041575982343,1763,168,0,0,0,3,1,1
83,19.697715603592208,22,136,39,5.0990195135927845,1634,168,0,0,0,3,1,1
83,16.06237840420901,23,131,41,4.58257569495584,1675,169,0,0,0,3,1,1
95,15.231546211727817,0,128,40,5.0990195135927845,1681,164,0,0,0,3,1,1
95,15.132745950421556,1,126,41,5.0,1690,164,0,0,0,3,1,1
95,11.40175425099138,2,120,44,3.1622776601683795,1706,166,0,0,0,3,1,1
95,9.899494936611665,3,115,43,4.0,1766,159,0,0,0,3,1,1
95,8.366600265340756,4,110,44,4.898979485566356,1724,156,0,0,0,3,1,1
95,9.1104335791443,5,105,47,4.47213595499958,1729,159,0,0,0,3,1,1
95,12.529964086141668,6,103,47,5.916079783099616,1642,157,0,0,0,3,1,1
95,19.6468827043885,7,98,48,2.8284271247461903,1566,154,0,0,0,3,1,1
95,27.748873851023216,8,93,50,2.8284271247461903,1359,154,1,0,0,3,1,1
95,19.849433241279208,9,96,41,3.0,1296,136,23,0,0,3,1,1
95,16.1245154965971,10,110,35,5.291502622129181,1319,134,63,0,0,3,1,1
95,17.578395831246947,11,126,30,3.7416573867739413,1393,134,93,0,0,3,1,1
95,18.81488772222678,12,143,21,3.7416573867739413,1520,117,114,0,0,3,1,1
95,18.788294228055936,13,146,19,4.242640687119285,1751,112,122,0,0,3,1,1
95,18.681541692269406,14,150,18,5.5677643628300215,1694,111,112,0,0,3,1,1
95,19.0,15,155,17,5.744562646538029,1765,111,87,0,0,3,1,1
95,20.0,16,152,15,5.830951894845301,1788,99,56,0,0,3,1,1
95,22.315913604421397,17,139,21,5.196152422706632,1788,114,18,0,0,3,1,1
95,27.258026340878022,18,132,24,3.4641016151377544,1788,119,0,0,0,3,1,1
95,21.79449471770337,19,130,26,3.3166247903554,1788,124,0,0,0,3,1,1
95,19.570385790780925,20,130,25,3.872983346207417,1788,121,0,0,0,3,1,1
95,18.303005217723125,21,130,26,2.23606797749979,1788,124,0,0,0,3,1,1
95,18.601075237738275,22,129,30,3.4641016151377544,1788,136,0,0,0,3,1,1
95,16.55294535724685,23,128,34,3.0,1788,147,0,0,0,3,1,1
107,16.30950643030009,0,128,39,3.0,1755,161,0,0,0,3,1,1
107,17.175564037317667,1,122,40,2.449489742783178,1788,158,0,0,0,3,1,1
107,15.362291495737216,2,116,41,2.6457513110645907,1771,155,0,0,0,3,1,1
107,12.96148139681572,3,120,38,2.449489742783178,1780,151,0,0,0,3,1,1
107,9.746794344808963,4,120,40,2.6457513110645907,1788,156,0,0,0,3,1,1
107,7.416198487095663,5,116,40,2.8284271247461903,1787,152,0,0,0,3,1,1
107,8.660254037844387,6,112,44,3.0,1763,158,0,0,0,3,1,1
107,11.224972160321824,7,108,47,2.8284271247461903,1738,161,0,0,0,3,1,1
107,14.866068747318506,8,109,47,2.6457513110645907,1728,162,1,0,0,3,1,1
107,17.029386365926403,9,116,39,3.1622776601683795,1574,150,23,0,0,3,1,1
107,16.492422502470642,10,141,33,3.605551275463989,1440,156,61,0,0,3,1,1
107,18.708286933869708,11,163,36,3.3166247903554,1303,185,89,0,0,3,1,1
107,20.639767440550294,12,187,31,2.8284271247461903,1599,192,105,0,0,3,1,1
107,20.73644135332772,13,202,27,4.47213595499958,1494,192,113,0,0,3,1,1
107,22.0,14,210,23,4.69041575982343,1736,184,106,0,0,3,1,1
107,23.790754506740637,15,215,21,4.47213595499958,1751,180,84,0,0,3,1,1
107,23.302360395462088,16,207,24,4.0,1751,185,40,0,0,3,1,1
107,21.88606862823929,17,198,28,4.242640687119285,1751,192,10,0,0,3,1,1
107,19.570385790780925,18,188,32,3.1622776601683795,1762,196,0,0,0,3,1,1
107,16.55294535724685,19,178,39,2.0,1666,207,0,0,0,3,1,1
107,17.233687939614086,20,171,42,3.7416573867739413,1637,208,0,0,0,3,1,1
107,17.88854381999832,21,162,46,2.6457513110645907,1448,210,0,0,0,3,1,1
107,16.97056274847714,22,158,46,2.449489742783178,1449,206,0,0,0,3,1,1
107,16.24807680927192,23,162,45,3.605551275463989,1370,207,0,0,0,3,1,1
119,18.027756377319946,0,161,46,3.1622776601683795,1425,209,0,0,0,3,1,1
119,16.703293088490067,1,161,45,2.23606797749979,1539,206,0,0,0,3,1,1
119,15.556349186104045,2,165,43,2.6457513110645907,1518,205,0,0,0,3,1,1
119,12.96148139681572,3,166,44,2.23606797749979,1540,209,0,0,0,3,1,1
119,8.366600265340756,4,167,43,4.0,1606,207,0,0,0,3,1,1
119,3.4641016151377544,5,166,65,3.1622776601683795,69,253,0,0,7,3,1,1
119,2.8284271247461903,6,158,81,3.0,20,271,0,20,27,3,1,1
119,4.358898943540674,7,159,83,3.3166247903554,35,275,0,0,40,3,1,1
119,5.830951894845301,8,161,81,3.4641016151377544,260,274,0,0,41,3,1,1
119,5.477225575051661,9,165,81,3.1622776601683795,190,278,0,15,43,3,1,1
119,4.242640687119285,10,168,82,2.0,45,282,0,0,43,3,1,1
119,7.54983443527075,11,172,83,3.0,42,288,3,0,39,3,1,1
119,10.862780491200215,12,186,79,1.7320508075688772,133,295,28,0,31,3,1,1
119,13.45362404707371,13,196,78,3.3166247903554,118,303,54,0,21,3,1,1
119,15.297058540778355,14,205,76,2.6457513110645907,209,308,65,0,14,3,1,1
119,13.379088160259652,15,230,54,6.708203932499369,573,291,35,0,10,3,1,1
119,14.594519519326424,16,217,62,5.916079783099616,490,295,20,0,5,3,1,1
119,15.0,17,199,56,6.557438524302,892,267,3,0,4,3,1,1
119,14.45683229480096,18,183,52,5.477225575051661,1788,243,0,0,0,3,1,1
119,13.416407864998739,19,179,44,6.324555320336759,1788,221,0,0,0,3,1,1
119,12.806248474865697,20,169,48,6.244997998398398,1742,221,0,0,0,3,1,1
119,12.884098726725126,21,163,50,5.477225575051661,1651,220,0,0,0,3,1,1
119,12.288205727444508,22,153,47,6.855654600401044,1788,204,0,0,0,3,1,1
119,12.12435565298214,23,149,34,6.557438524302,1788,167,0,0,0,3,1,1
131,11.135528725660043,0,138,30,5.830951894845301,1788,145,0,0,0,3,1,1
131,10.488088481701515,1,129,27,6.164414002968976,1788,127,0,0,0,3,1,1
131,8.12403840463596,2,121,26,5.830951894845301,1788,116,0,0,0,3,1,1
131,6.6332495807108,3,116,29,4.898979485566356,1788,122,0,0,0,3,1,1
131,6.557438524302,4,111,26,5.656854249492381,1788,107,0,0,0,3,1,1
131,9.219544457292887,5,107,29,5.656854249492381,1762,114,0,0,0,3,1,1
131,11.61895003862225,6,104,30,5.385164807134504,1767,114,0,0,0,3,1,1
131,18.0,7,103,30,5.5677643628300215,1784,113,0,0,0,3,1,1
131,25.41653005427767,8,103,29,6.0,1782,110,1,0,0,3,1,1
131,18.027756377319946,9,104,27,7.14142842854285,1729,104,10,0,0,3,1,1
131,14.52583904633395,10,110,23,6.708203932499369,1788,96,62,0,0,3,1,1
131,15.0,11,116,27,6.164414002968976,1788,115,100,0,0,3,1,1
131,15.684387141358123,12,111,24,6.782329983125268,1761,100,126,0,0,3,1,1
131,15.491933384829668,13,109,23,7.14142842854285,1774,95,124,0,0,3,1,1
131,15.874507866387544,14,109,22,6.4031242374328485,1733,91,113,0,0,3,1,1
131,16.3707055437449,15,108,24,6.708203932499369,1788,98,92,0,0,3,1,1
131,16.61324772583615,16,103,31,6.324555320336759,1788,116,55,0,0,3,1,1
131,18.973665961010276,17,92,35,6.48074069840786,1788,117,18,0,0,3,1,1
131,23.53720459187964,18,84,34,5.744562646538029,1788,107,0,0,0,3,1,1
131,19.235384061671343,19,77,36,6.244997998398398,1788,106,0,0,0,3,1,1
131,15.905973720586866,20,70,40,6.164414002968976,1788,110,0,0,0,3,1,1
131,16.278820596099706,21,66,42,5.0,1788,111,0,0,0,3,1,1
131,14.866068747318506,22,61,41,5.477225575051661,1788,104,0,0,0,3,1,1
131,13.152946437965905,23,56,44,3.4641016151377544,1788,106,0,0,0,3,1,1
143,11.489125293076057,0,53,42,3.3166247903554,1788,99,0,0,0,3,1,1
143,11.224972160321824,1,51,42,3.3166247903554,1788,97,0,0,0,3,1,1
143,9.695359714832659,2,48,41,2.6457513110645907,1788,92,0,0,0,3,1,1
143,7.280109889280518,3,47,41,4.69041575982343,1783,91,0,0,0,3,1,1
143,6.708203932499369,4,47,38,4.58257569495584,1770,84,0,0,0,3,1,1
143,8.0,5,47,36,5.291502622129181,1739,79,0,0,0,3,1,1
143,10.14889156509222,6,45,38,5.0,1761,82,0,0,0,3,1,1
143,16.703293088490067,7,42,41,4.795831523312719,1717,86,0,0,0,3,1,1
143,24.0,8,40,43,3.605551275463989,1702,89,0,0,0,3,1,1
143,16.55294535724685,9,45,37,5.385164807134504,1744,79,10,0,0,3,1,1
143,13.527749258468683,10,58,36,5.744562646538029,1644,89,60,0,0,3,1,1
143,14.142135623730951,11,69,33,5.5677643628300215,1605,91,93,0,0,3,1,1
143,15.066519173319364,12,80,26,5.385164807134504,1755,80,114,0,0,3,1,1
143,14.966629547095765,13,94,28,4.898979485566356,1743,99,122,0,0,3,1,1
143,16.0312195418814,14,109,23,4.47213595499958,1718,95,112,0,0,3,1,1
143,15.7797338380595,15,105,21,5.291502622129181,1788,84,92,0,0,3,1,1
143,15.716233645501712,16,103,20,5.291502622129181,1771,78,58,0,0,3,1,1
143,17.435595774162696,17,93,23,5.0990195135927845,1788,81,19,0,0,3,1,1
143,22.93468988235943,18,86,27,3.1622776601683795,1788,88,0,0,0,3,1,1
143,18.681541692269406,19,81,34,3.3166247903554,1788,105,0,0,0,3,1,1
143,16.09347693943108,20,79,33,3.1622776601683795,1788,100,0,0,0,3,1,1
143,16.401219466856727,21,75,34,3.7416573867739413,1787,99,0,0,0,3,1,1
143,15.968719422671311,22,73,36,3.605551275463989,1787,103,0,0,0,3,1,1
143,13.114877048604,23,70,38,4.58257569495584,1788,105,0,0,0,3,1,1
155,12.922847983320086,0,68,39,3.605551275463989,1784,106,0,0,0,3,1,1
155,13.490737563232042,1,61,43,4.0,1785,108,0,0,0,3,1,1
155,10.908712114635714,2,59,44,4.242640687119285,1737,109,0,0,0,3,1,1
155,8.831760866327848,3,54,46,4.242640687119285,1701,109,0,0,0,3,1,1
155,6.324555320336759,4,49,49,3.605551275463989,1695,110,0,0,0,3,1,1
155,8.18535277187245,5,48,49,3.3166247903554,1711,109,0,0,0,3,1,1
155,10.392304845413264,6,44,48,3.3166247903554,1762,103,0,0,0,3,1,1
155,17.578395831246947,7,46,44,4.0,1786,97,0,0,0,3,1,1
155,24.228082879171435,8,49,38,5.744562646538029,1788,86,0,0,0,3,1,1
155,18.411952639521967,9,52,37,5.830951894845301,1769,86,10,0,0,3,1,1
155,14.177446878757825,10,68,30,4.58257569495584,1663,81,60,0,0,3,1,1
155,15.811388300841896,11,82,26,4.242640687119285,1596,81,96,0,0,3,1,1
155,16.30950643030009,12,98,21,5.385164807134504,1733,78,117,0,0,3,1,1
155,15.811388300841896,13,105,19,5.385164807134504,1675,76,123,0,0,3,1,1
155,15.459624833740307,14,116,18,5.385164807134504,1671,82,112,0,0,3,1,1
155,15.459624833740307,15,114,17,5.5677643628300215,1675,75,89,0,0,3,1,1
155,16.64331697709324,16,118,17,4.69041575982343,1788,79,56,0,0,3,1,1
155,19.77371993328519,17,107,20,4.123105625617661,1788,82,18,0,0,3,1,1
155,23.108440016582687,18,97,24,3.3166247903554,1788,88,0,0,0,3,1,1
155,19.28730152198591,19,97,22,4.0,1788,81,0,0,0,3,1,1
155,16.186414056238647,20,87,26,2.8284271247461903,1788,86,0,0,0,3,1,1
155,16.431676725154983,21,80,30,3.1622776601683795,1788,92,0,0,0,3,1,1
155,16.431676725154983,22,74,30,1.0,1788,87,0,0,0,3,1,1
155,13.152946437965905,23,71,35,2.0,1766,98,0,0,0,3,1,1
167,13.038404810405298,0,68,41,2.449489742783178,1741,110,0,0,0,3,1,1
167,13.0,1,65,39,2.8284271247461903,1788,103,0,0,0,3,1,1
167,10.295630140987,2,57,35,2.8284271247461903,1691,85,0,0,0,3,1,1
167,8.888194417315589,3,56,39,2.0,1445,94,0,0,0,3,1,1
167,7.14142842854285,4,53,41,2.8284271247461903,1510,96,0,0,0,3,1,1
167,7.810249675906654,5,55,39,2.8284271247461903,1442,94,0,0,0,3,1,1
167,10.344080432788601,6,53,46,2.8284271247461903,1341,108,0,0,0,3,1,1
167,16.673332000533065,7,54,48,3.3166247903554,1199,113,0,0,0,3,1,1
167,24.779023386727733,8,59,45,3.3166247903554,1238,111,1,0,0,3,1,1
167,17.435595774162696,9,69,35,2.23606797749979,1473,96,13,0,0,3,1,1
167,13.711309200802088,10,86,34,3.0,1355,109,35,0,0,3,1,1
167,15.684387141358123,11,102,29,3.1622776601683795,1385,109,52,0,0,3,1,1
167,16.64331697709324,12,114,25,3.605551275463989,1558,107,60,0,0,3,1,1
167,16.76305461424021,13,125,23,3.0,1617,109,52,0,0,3,1,1
167,17.11724276862369,14,136,19,2.6457513110645907,1646,103,65,0,0,3,1,1
167,17.320508075688775,15,138,20,3.3166247903554,1460,109,48,0,0,3,1,1
167,18.275666882497067,16,139,19,3.0,1666,106,35,0,0,3,1,1
167,19.519221295943137,17,134,22,2.449489742783178,1515,113,9,0,0,3,1,1
167,24.596747752497688,18,128,26,3.3166247903554,1220,123,0,0,0,3,1,1
167,20.223748416156685,19,121,31,3.0,1033,132,0,0,0,3,1,1
167,16.61324772583615,20,115,34,3.3166247903554,1206,136,0,0,0,3,1,1
167,17.74823934929885,21,115,36,2.8284271247461903,1164,141,0,0,0,3,1,1
167,17.549928774784245,22,114,35,3.3166247903554,1182,137,0,0,0,3,1,1
167,14.491376746189438,23,107,44,3.4641016151377544,1105,154,0,0,0,3,1,1
179,15.033296378372908,0,106,44,2.449489742783178,1078,153,0,0,0,3,1,1
179,15.491933384829668,1,100,48,2.0,975,156,0,0,0,3,1,1
179,12.68857754044952,2,95,49,2.0,920,154,0,0,0,3,1,1
179,10.44030650891055,3,94,47,2.23606797749979,940,148,0,0,0,3,1,1
179,8.246211251235321,4,92,50,2.8284271247461903,889,153,0,0,0,3,1,1
179,8.18535277187245,5,88,55,3.0,828,159,0,0,0,3,1,1
179,11.313708498984761,6,89,55,2.6457513110645907,747,160,0,0,0,3,1,1
179,16.852299546352718,7,93,54,2.449489742783178,709,162,0,0,0,3,1,1
